name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,3/30/20,67801,3182,62570
Guangdong,Mainland China,3/30/20,1484,8,1351
Henan,Mainland China,3/30/20,1276,22,1251
Zhejiang,Mainland China,3/30/20,1255,1,1225
Hunan,Mainland China,3/30/20,1018,4,1014
Anhui,Mainland China,3/30/20,990,6,984
Jiangxi,Mainland China,3/30/20,937,1,934
Shandong,Mainland China,3/30/20,773,7,753
Jiangsu,Mainland China,3/30/20,645,0,631
Chongqing,Mainland China,3/30/20,579,6,570
Sichuan,Mainland China,3/30/20,550,3,536
Beijing,Mainland China,3/30/20,577,8,411
Heilongjiang,Mainland China,3/30/20,484,13,469
Shanghai,Mainland China,3/30/20,498,5,334
Hebei,Mainland China,3/30/20,321,6,310
Hong Kong,Hong Kong,3/30/20,682,4,123
Fujian,Mainland China,3/30/20,340,1,295
Guangxi,Mainland China,3/30/20,254,2,250
Shaanxi,Mainland China,3/30/20,253,3,242
Yunnan,Mainland China,3/30/20,181,2,172
Taiwan,Taiwan,3/30/20,306,5,39
Hainan,Mainland China,3/30/20,168,6,162
Guizhou,Mainland China,3/30/20,146,2,144
Tianjin,Mainland China,3/30/20,174,3,133
Gansu,Mainland China,3/30/20,138,2,125
Shanxi,Mainland China,3/30/20,136,0,133
Liaoning,Mainland China,3/30/20,136,2,124
Jilin,Mainland China,3/30/20,98,1,92
Xinjiang Uygur,Mainland China,3/30/20,76,3,73
Nei Mongol,Mainland China,3/30/20,97,1,74
Ningxia,Mainland China,3/30/20,75,0,75
Macau,Macau,3/30/20,38,0,10
Qinghai,Mainland China,3/30/20,18,0,18
Xizang,Mainland China,3/30/20,1,0,1
Botswana,Botswana,3/30/20,3,0,0
Anguilla,Anguilla,3/30/20,2,0,0
Saint Barthelemy,Saint Barthelemy,3/30/20,6,0,1
Bermuda,Bermuda,3/30/20,27,0,2
Faroe Islands,Faroe Islands,3/30/20,168,0,70
Gibraltar,Gibraltar,3/30/20,69,0,34
Isle of Man,Isle of Man,3/30/20,49,0,0
Saint Martin,Saint Martin,3/30/20,15,1,2
Montserrat,Montserrat,3/30/20,5,0,0
Mayotte,Mayotte,3/30/20,82,0,10
New Caledonia,New Caledonia,3/30/20,15,0,0
Sint Maarten,Sint Maarten,3/30/20,6,0,0
Turks and Caicos Islands,Turks and Caicos Islands,3/30/20,5,0,0
Republic of the Congo,Republic of the Congo,3/30/20,19,0,0
Angola,Angola,3/30/20,7,2,0
Benin,Benin,3/30/20,6,0,0
Bahamas,Bahamas,3/30/20,14,0,1
Belize,Belize,3/30/20,3,0,0
Barbados,Barbados,3/30/20,33,0,0
Central African Republic,Central African Republic,3/30/20,3,0,0
Cabo Verde,Cabo Verde,3/30/20,6,1,0
Djibouti,Djibouti,3/30/20,18,0,0
Dominica,Dominica,3/30/20,12,0,0
Eritrea,Eritrea,3/30/20,15,0,0
Fiji,Fiji,3/30/20,5,0,0
Gambia,Gambia,3/30/20,4,1,0
Guinea-Bissau,Guinea-Bissau,3/30/20,8,0,0
Equatorial Guinea,Equatorial Guinea,3/30/20,12,0,0
Grenada,Grenada,3/30/20,9,0,0
Haiti,Haiti,3/30/20,15,0,0
Kyrgyzstan,Kyrgyzstan,3/30/20,94,0,0
Saint Kitts and Nevis,Saint Kitts and Nevis,3/30/20,7,0,0
Laos,Laos,3/30/20,8,0,0
Liberia,Liberia,3/30/20,3,0,0
Libya,Libya,3/30/20,8,0,0
Madagascar,Madagascar,3/30/20,43,0,0
Mali,Mali,3/30/20,25,2,0
Montenegro,Montenegro,3/30/20,91,1,0
Mozambique,Mozambique,3/30/20,8,0,0
Mauritius,Mauritius,3/30/20,128,3,0
Niger,Niger,3/30/20,27,3,0
Nicaragua,Nicaragua,3/30/20,4,1,0
Papua New Guinea,Papua New Guinea,3/30/20,1,0,0
El Salvador,El Salvador,3/30/20,30,0,0
Somalia,Somalia,3/30/20,3,0,0
Kosovo,Kosovo,3/30/20,94,1,1
Syria,Syria,3/30/20,10,2,0
Chad,Chad,3/30/20,5,0,0
Timor-Leste,Timor-Leste,3/30/20,1,0,0
Tanzania,Tanzania,3/30/20,19,0,1
Uganda,Uganda,3/30/20,33,0,0
Zambia,Zambia,3/30/20,35,0,0
Zimbabwe,Zimbabwe,3/30/20,7,1,0
Italy,Italy,3/30/20,101739,11591,14620
Spain,Spain,3/30/20,87956,7716,16780
Iran,Iran,3/30/20,41495,2757,13911
France,France,3/30/20,44550,3024,7927
South Korea,South Korea,3/30/20,9661,158,5228
Switzerland,Switzerland,3/30/20,15922,359,1823
United Kingdom,United Kingdom,3/30/20,22141,1408,135
Netherlands,Netherlands,3/30/20,11750,864,6
Austria,Austria,3/30/20,9618,108,636
Belgium,Belgium,3/30/20,11899,513,1527
Norway,Norway,3/30/20,4445,32,12
Portugal,Portugal,3/30/20,6408,140,43
Sweden,Sweden,3/30/20,4028,146,16
Australia,Australia,3/30/20,4361,17,257
Denmark,Denmark,3/30/20,2577,77,1
Malaysia,Malaysia,3/30/20,2626,37,479
Israel,Israel,3/30/20,4695,16,134
Turkey,Turkey,3/30/20,10827,168,105
Czech Republic,Czech Republic,3/30/20,3001,23,25
Japan,Japan,3/30/20,1953,56,424
Ireland,Ireland,3/30/20,2910,54,5
Pakistan,Pakistan,3/30/20,1717,21,76
Luxembourg,Luxembourg,3/30/20,1988,22,40
Ecuador,Ecuador,3/30/20,1966,62,3
Thailand,Thailand,3/30/20,1524,9,229
Finland,Finland,3/30/20,1352,13,10
Others,Japan (Diamond Princess),3/30/20,706,6,10
Poland,Poland,3/30/20,2055,31,7
Iceland,Iceland,3/30/20,1086,2,157
Indonesia,Indonesia,3/30/20,1414,122,75
Romania,Romania,3/30/20,2109,65,209
Saudi Arabia,Saudi Arabia,3/30/20,1453,8,115
Singapore,Singapore,3/30/20,879,3,212
Qatar,Qatar,3/30/20,693,1,51
Philippines,Philippines,3/30/20,1546,78,42
Slovenia,Slovenia,3/30/20,756,11,10
Russia,Russia,3/30/20,1836,9,66
South Africa,South Africa,3/30/20,1326,3,31
Estonia,Estonia,3/30/20,715,3,20
Bahrain,Bahrain,3/30/20,515,4,279
Egypt,Egypt,3/30/20,656,41,150
Mexico,Mexico,3/30/20,993,20,35
Croatia,Croatia,3/30/20,790,6,55
Panama,Panama,3/30/20,1075,27,9
Lebanon,Lebanon,3/30/20,446,11,32
Iraq,Iraq,3/30/20,630,46,152
Serbia,Serbia,3/30/20,785,16,0
Dominican Republic,Dominican Republic,3/30/20,901,42,4
Algeria,Algeria,3/30/20,584,35,37
Armenia,Armenia,3/30/20,482,3,30
Kuwait,Kuwait,3/30/20,266,0,72
Bulgaria,Bulgaria,3/30/20,359,8,17
Slovakia,Slovakia,3/30/20,336,0,7
San Marino,San Marino,3/30/20,230,25,13
United Arab Emirates,United Arab Emirates,3/30/20,611,5,61
Latvia,Latvia,3/30/20,376,0,1
Uruguay,Uruguay,3/30/20,320,1,25
Hungary,Hungary,3/30/20,447,15,34
Lithuania,Lithuania,3/30/20,491,7,1
Costa Rica,Costa Rica,3/30/20,330,2,4
North Macedonia,North Macedonia,3/30/20,285,7,12
Vietnam,Vietnam,3/30/20,204,0,55
Andorra,Andorra,3/30/20,370,8,10
Morocco,Morocco,3/30/20,556,33,15
Jordan,Jordan,3/30/20,268,5,26
Cyprus,Cyprus,3/30/20,230,7,15
Moldova,Moldova,3/30/20,298,2,15
Bosnia and Herzegovina,Bosnia and Herzegovina,3/30/20,368,10,17
Malta,Malta,3/30/20,156,0,2
Albania,Albania,3/30/20,223,11,44
Brunei,Brunei,3/30/20,127,1,38
Cambodia,Cambodia,3/30/20,107,0,21
Sri Lanka,Sri Lanka,3/30/20,122,1,15
Belarus,Belarus,3/30/20,152,0,32
Tunisia,Tunisia,3/30/20,362,10,3
Burkina Faso,Burkina Faso,3/30/20,246,12,31
Venezuela,Venezuela,3/30/20,135,3,39
New Zealand,New Zealand,3/30/20,589,1,63
Azerbaijan,Azerbaijan,3/30/20,273,4,26
Kazakhstan,Kazakhstan,3/30/20,302,1,21
Senegal,Senegal,3/30/20,162,0,27
Guadeloupe,Guadeloupe,3/30/20,106,4,17
Oman,Oman,3/30/20,179,0,29
Georgia (country),Georgia,3/30/20,103,0,20
Trinidad and Tobago,Trinidad and Tobago,3/30/20,83,3,1
Ukraine,Ukraine,3/30/20,548,13,8
Reunion,Reunion,3/30/20,224,0,1
Uzbekistan,Uzbekistan,3/30/20,149,2,7
Cameroon,Cameroon,3/30/20,139,6,5
Martinique,Martinique,3/30/20,93,1,0
Liechtenstein,Liechtenstein,3/30/20,62,0,0
Afghanistan,Afghanistan,3/30/20,170,4,2
Palestine,Palestine,3/30/20,117,1,18
Democratic Republic of the Congo,Democratic Republic of the Congo,3/30/20,81,8,2
Bangladesh,Bangladesh,3/30/20,49,5,19
Nigeria,Nigeria,3/30/20,131,2,8
Honduras,Honduras,3/30/20,139,3,3
Bolivia,Bolivia,3/30/20,97,4,0
Paraguay,Paraguay,3/30/20,64,3,1
Cuba,Cuba,3/30/20,170,4,4
Ghana,Ghana,3/30/20,152,5,2
French Guiana,French Guiana,3/30/20,43,0,6
Rwanda,Rwanda,3/30/20,70,0,0
Guatemala,Guatemala,3/30/20,36,1,10
Jamaica,Jamaica,3/30/20,36,1,2
Togo,Togo,3/30/20,30,1,1
Kenya,Kenya,3/30/20,50,1,1
Cote d'Ivoire,Cote d'Ivoire,3/30/20,168,1,6
Maldives,Maldives,3/30/20,17,0,11
Monaco,Monaco,3/30/20,49,1,1
Ethiopia,Ethiopia,3/30/20,23,0,1
Mongolia,Mongolia,3/30/20,12,0,0
Guyana,Guyana,3/30/20,8,1,0
Seychelles,Seychelles,3/30/20,8,0,0
Suriname,Suriname,3/30/20,8,0,0
Gabon,Gabon,3/30/20,7,1,0
French Polynesia,French Polynesia,3/30/20,36,0,0
Namibia,Namibia,3/30/20,11,0,2
Bhutan,Bhutan,3/30/20,4,0,0
Saint Lucia,Saint Lucia,3/30/20,9,0,1
Sudan,Sudan,3/30/20,6,1,0
Nepal,Nepal,3/30/20,5,0,1
Guinea,Guinea,3/30/20,22,0,0
Aruba,Aruba,3/30/20,50,0,1
Jersey,Jersey,3/30/20,2,0,0
Mauritania,Mauritania,3/30/20,6,1,2
Antigua and Barbuda,Antigua and Barbuda,3/30/20,7,0,0
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,3/30/20,1,0,0
Curacao,Curacao,3/30/20,11,1,2
Greenland,Greenland,3/30/20,10,0,2
Guernsey,Guernsey,3/30/20,1,0,0
Vatican City,Vatican City,3/30/20,6,0,0
Cayman Islands,Cayman Islands,3/30/20,12,1,0
Argentina,Argentina,3/30/20,966,24,228
Brazil,Brazil,3/30/20,4579,159,120
Canada,Canada,3/30/20,7447,84,1035
Chile,Chile,3/30/20,2449,8,156
Colombia,Colombia,3/30/20,798,14,15
Germany,Germany,3/30/20,67015,647,9211
Greece,Greece,3/30/20,1212,43,52
India,India,3/30/20,1069,27,99
Peru,Peru,3/30/20,950,18,269
USA (Aggregate Recovered),USA,3/30/20,0,0,5945
New York,USA,3/30/20,67384,1342,0
New Jersey,USA,3/30/20,16636,198,0
California,USA,3/30/20,7394,149,0
Michigan,USA,3/30/20,6498,185,0
Massachusetts,USA,3/30/20,5752,56,0
Florida,USA,3/30/20,5704,71,0
Washington,USA,3/30/20,5187,219,0
Illinois,USA,3/30/20,5058,74,0
Pennsylvania,USA,3/30/20,4155,51,0
Louisiana,USA,3/30/20,4025,185,0
Texas,USA,3/30/20,3346,48,0
Georgia,USA,3/30/20,3032,102,0
Colorado,USA,3/30/20,2627,51,0
Connecticut,USA,3/30/20,2571,36,0
Tennessee,USA,3/30/20,1937,14,0
Ohio,USA,3/30/20,1933,40,0
Indiana,USA,3/30/20,1787,35,0
Maryland,USA,3/30/20,1413,15,0
North Carolina,USA,3/30/20,1379,8,0
Wisconsin,USA,3/30/20,1285,24,0
Arizona,USA,3/30/20,1158,20,0
Missouri,USA,3/30/20,1122,13,0
Nevada,USA,3/30/20,1044,18,0
Virginia,USA,3/30/20,1020,25,0
Alabama,USA,3/30/20,947,11,0
South Carolina,USA,3/30/20,925,18,0
Mississippi,USA,3/30/20,847,16,0
Utah,USA,3/30/20,806,4,0
Oregon,USA,3/30/20,606,16,0
Minnesota,USA,3/30/20,576,10,0
Arkansas,USA,3/30/20,508,7,0
District of Columbia,USA,3/30/20,495,9,0
Oklahoma,USA,3/30/20,483,17,0
Kentucky,USA,3/30/20,480,11,0
Idaho,USA,3/30/20,431,8,0
Iowa,USA,3/30/20,424,6,0
Rhode Island,USA,3/30/20,408,4,0
Kansas,USA,3/30/20,374,8,0
New Hampshire,USA,3/30/20,314,3,0
New Mexico,USA,3/30/20,281,4,0
Maine,USA,3/30/20,275,3,0
Delaware,USA,3/30/20,264,7,0
Vermont,USA,3/30/20,256,12,0
Hawaii,USA,3/30/20,204,0,0
Montana,USA,3/30/20,177,5,0
Puerto Rico,USA,3/30/20,174,7,0
Nebraska,USA,3/30/20,153,3,0
West Virginia,USA,3/30/20,145,1,0
Alaska,USA,3/30/20,119,3,0
North Dakota,USA,3/30/20,109,3,0
Grand Princess,USA,3/30/20,103,3,0
South Dakota,USA,3/30/20,101,1,0
Wyoming,USA,3/30/20,95,0,0
Guam,USA,3/30/20,58,1,0
Diamond Princess,USA,3/30/20,49,0,0
United States Virgin Islands,USA,3/30/20,30,0,0
Wuhan Evacuee,USA,3/30/20,4,0,0
Northern Mariana Islands,USA,3/30/20,2,0,0
